categorize;recipe_name;tags;avg_score;difficulty;ingredient;rating_count;calorie;preparation_time;date_recipe;comment_user;recipe_url
Getranke;Bananendrink 2. Art;['Getränk', 'Vegetarisch', 'Schnell', 'einfach', 'Frucht', 'Shake', 'alkoholfrei'];3.86;simpel;['1', 'Banane(n)', '150ml', 'Kirschsaft', '150ml', 'Kefir', '1EL', 'Zitronensaft', '1EL', 'Traubenzucker']; (;NA;5 Min;['13.10.2010'];NA;"https://www.chefkoch.de/rezepte/1769081286862304/Bananendrink-2-Art.html
"
Getranke;Obst-Smoothie mit Avocado und Ingwer;['Getränk', 'Vegetarisch', 'Vegan', 'Frucht', 'Shake'];3.86;simpel;['1', 'Banane(n)', '1', 'Orange(n)(Bio),1/4derSchalewirdauchgebraucht', '1', 'Birne(n)', '½', 'Avocado(s),reif', '1Stück(e)', 'Ingwerwurzel,walnussgroß', '1', 'Zitronenscheibe(n)(Bio)mitSchale']; (;NA;5 Min;['02.02.2016'];NA;"https://www.chefkoch.de/rezepte/3012431454075648/Obst-Smoothie-mit-Avocado-und-Ingwer.html
"
Getranke;Baccardibowle;['Getränk', 'Bowle'];3.86;simpel;['1Flasche', 'Rum(Baccardi)', '1Flasche', 'Sekt', '1Liter', 'Orangensaft', '2Liter', 'Saft(Pfirsichsaft)', '1Dose/n', 'Früchte(FruchtcocktailoderPfirsiche)']; (;NA;10 Min;['16.03.2002'];NA;"https://www.chefkoch.de/rezepte/38671013004033/Baccardibowle.html
"
Getranke;Russian Bahama Mama;['Cocktail', 'Getränk', 'Party'];3.86;simpel;['2cl', 'Wodka', '2cl', 'MalibuCoconutRum', '4cl', 'Maracujasaft', '4cl', 'Ananassaft', '½cl', 'Sirup(Mandelsirup)', '1cl', 'Grenadine', '4EL', 'Eis(CrushedIce)']; (;NA;2 Min;['27.06.2013'];NA;"https://www.chefkoch.de/rezepte/2338891372270191/Russian-Bahama-Mama.html
"
Getranke;Pfirsich - Bananen - Smoothie;['Getränk', 'Sommer', 'Vegetarisch', 'Schnell', 'einfach', 'Vegan', 'Kinder', 'Frucht', 'Shake', 'Vollwert'];3.86;simpel;['1große', 'Banane(n),gefroren', '2große', 'Pfirsich(e)', '360ml', 'Milch(Haselnuss-,Hafer-oderSojamilch)', '1Msp.', 'Vanillemark', '3', 'Eiswürfel,ca.']; (;NA;5 Min;['26.01.2011'];NA;"https://www.chefkoch.de/rezepte/1825151296038527/Pfirsich-Bananen-Smoothie.html
"
Getranke;Kaffee-Smoothie mit Banane und Kokosmilch;['Getränk', 'Vegetarisch', 'Frühstück', 'Vegan', 'Frucht', 'Shake'];3.86;simpel;['120ml', 'Kaffee.kalter', '60ml', 'Kokosmilch,cremig,dickflüssig', '1', 'Banane(n)', 'etwas', 'Vanilleextrakt', 'evtl.', 'Agavendicksaft', 'evtl.', 'Kokoschips,zumGarnieren']; (;NA;5 Min;['29.05.2016'];NA;"https://www.chefkoch.de/rezepte/3114661464435072/Kaffee-Smoothie-mit-Banane-und-Kokosmilch.html
"
Getranke;Kokos-Bananenmilch;['Getränk', 'Longdrink'];3.86;simpel;['1', 'Banane(n),reif', '400ml', 'Milch', '8cl', 'BatidadeCoco,ODER:', 'n.B.', 'Kokosmilch', 'Eiswürfel']; (;NA;5 Min;['08.07.2013'];NA;"https://www.chefkoch.de/rezepte/2346691373229489/Kokos-Bananenmilch.html
"
Getranke;Bärenfang aus Ostpreußen;['Getränk', 'Europa', 'Vegetarisch', 'Osteuropa', 'Polen', 'Geheimrezept', 'Likör', 'Gluten'];3.93;simpel;['1Liter', 'Schnaps(PrimaspritoderWodka)', '500g', 'Honig', '500ml', 'Bier(Pils)']; (;1995kcal;6 Min;['11.08.2008'];NA;"https://www.chefkoch.de/rezepte/1121531218439194/Baerenfang-aus-Ostpreussen.html
"
Getranke;Zitronen-Basilikum-Wasser;['Getränk', 'Sommer', 'Vegetarisch', 'Vegan', 'Frucht', 'Paleo'];3.86;simpel;['1', 'Zitrone(n),Bio', '5', 'Basilikumblätter', '1½Liter', 'Mineralwasser,stilloderLeitungswasser']; (;39kcal;2 Min;['05.09.2016'];NA;"https://www.chefkoch.de/rezepte/3175441472580330/Zitronen-Basilikum-Wasser.html
"
Getranke;Long Island Ice Tea - auf der Basis der Originalversion;['Getränk', 'Longdrink'];3.86;simpel;['2cl', 'Rum,weiß', '2cl', 'Wodka', '2cl', 'Gin', '1cl', 'TripleSec', '1cl', 'Zitronensaft', '2cl', 'Orangensaft', 'Cola', 'Würfel', 'EisnachBedarf']; (;NA;5 Min;['23.02.2006'];NA;"https://www.chefkoch.de/rezepte/471131140679185/Long-Island-Ice-Tea-auf-der-Basis-der-Originalversion.html
"
Getranke;Walnuss - Honig - Likör;['Getränk', 'Winter', 'Herbst', 'Haltbarmachen', 'Likör'];3.86;simpel;['150g', 'Walnüsse,reif', '375ml', 'Brandy', '250ml', 'Wasser', '250ml', 'Honig', '1Stange/n', 'Zimt', '3', 'Gewürznelke(n)', '1TL', 'Orangenschale,unbehandelt', '1TL', 'Zitronenschale,unbehandelt', '1TL', 'Vanille-EssenzodergemahleneVanilleschote']; (;NA;20 Min;['05.10.2008'];NA;"https://www.chefkoch.de/rezepte/1171411223222600/Walnuss-Honig-Likoer.html
"
Getranke;Feiner Beerenlikör;['Getränk', 'Frucht'];3.86;simpel;['500g', 'Beeren,gemischt(Himbeeren,Erdbeeren,BrombeerenundJohannisbeeren)', '1', 'Zitrone(n),unbehandelt,abgeriebeneSchale', '2', 'Gewürznelke(n)', '½Liter', 'Himbeergeist', '½Liter', 'Wein,rot,trocken', '300g', 'Zucker(Kandis),weiß']; (;NA;50 Min;['05.06.2002'];NA;"https://www.chefkoch.de/rezepte/63521023190893/Feiner-Beerenlikoer.html
"
Getranke;Birnen Slushee;['Getränk', 'Sommer', 'USAoderKanada', 'raffiniertoderpreiswert', 'Schnell', 'einfach', 'Dessert', 'Kinder', 'Frucht', 'Resteverwertung', 'alkoholfrei'];3.86;simpel;['1große', 'Birne(n),geschält,ohneKerngehäuse,grobgehackt', '60ml', 'Orangensaft,frischgepresst', '2EL', 'Limettensaft', '1EL', 'Honig', '240ml', 'Eis,feinzerstossenimMessbecherabgemessen']; (;NA;15 Min;['11.07.2007'];NA;"https://www.chefkoch.de/rezepte/803871184167665/Birnen-Slushee.html
"
Getranke;Curaçao - Bowle;['Getränk', 'Sommer', 'Party', 'Bowle'];3.86;simpel;['3Dose/n', 'Mandarine(n)', '2kl.Dose/n', 'Ananas', '1Flasche', 'BlueCuraçao', '2Liter', 'Orangensaft,gutgekühlt', '2Flaschen', 'Sekt,gutgekühlt']; (;NA;5 Min;['17.12.2008'];NA;"https://www.chefkoch.de/rezepte/1244731229372816/Curacao-Bowle.html
"
Getranke;Brombeerlikör;['Getränk', 'Sommer', 'Vegetarisch', 'Vegan', 'Basisrezepte', 'Herbst', 'Haltbarmachen', 'Likör'];3.86;simpel;['1kg', 'Brombeeren', '400g', 'Kandiszucker,braun', '1½Liter', 'Wodka,37%']; (;5445kcal;15 Min;['04.09.2008'];NA;"https://www.chefkoch.de/rezepte/1142201220542572/Brombeerlikoer.html
"
Getranke;Fruchtige Buttermilch;['Getränk', 'Sommer', 'Schnell', 'einfach', 'Frucht', 'Resteverwertung', 'Shake', 'Studentenküche'];3.86;simpel;['4EL,gehäuft', 'Himbeeren,frischoderTK', '2TL', 'Heidelbeeren', '200ml', 'Buttermilch', '1TL', 'Honig']; (;NA;5 Min;['13.03.2015'];NA;"https://www.chefkoch.de/rezepte/2711471424196398/Fruchtige-Buttermilch.html
"
Getranke;Zitronen - Buttermilch;['Getränk', 'Süßspeise', 'alkoholfrei'];3.86;simpel;['500ml', 'Buttermilch', '1Schuss', 'süßeSahne', '1', 'Zitrone(n),dengepreßtenSaft', '2TL', 'Honig', 'Zitrone(n),(Zestenbzw.Streifenderunbeh.Zitronenschale)', 'Zitronenmelisse']; (;NA;10 Min;['06.05.2002'];NA;"https://www.chefkoch.de/rezepte/48431016450206/Zitronen-Buttermilch.html
"
Getranke;Starbucks Iced Caffe Latte;['Getränk', 'Sommer', 'Schnell', 'einfach', 'KaffeeTeeoderKakao'];3.86;simpel;['200ml', 'Milch,kalt', '80ml', 'Espresso,doppelter(einfacher40ml)', 'evtl.', 'Zucker', 'Eis,(crushedIce)']; (;NA;5 Min;['08.05.2011'];NA;"https://www.chefkoch.de/rezepte/1875031304861947/Starbucks-Iced-Caffe-Latte.html
"
Getranke;Kaffee süß-scharf;['Getränk', 'Schnell', 'einfach', 'gekocht', 'KaffeeTeeoderKakao'];3.86;simpel;['1Tasse', 'Kaffee,frischgebrüht', '1EL', 'Nuss-Nougat-Creme,z.B.Nutella', '1Prise(n)', 'Chilipulver', 'evtl.', 'MilchoderMilchschaum']; (;NA;5 Min;['16.03.2016'];NA;"https://www.chefkoch.de/rezepte/3054661458067168/Kaffee-suess-scharf.html
"
Getranke;Caipibowle;['Getränk', 'Party', 'Bowle'];3.86;simpel;['12', 'Limette(n),unbehandelt', '1½Liter', 'MineralwassermitKohlensäure,eiskalt', '1', 'Honigmelone(n)', '200g', 'Rohrzucker,braun', '200ml', 'Schnaps(Zuckerrohrschnaps)', '2Flasche', 'Sekt,trockener']; (;NA;20 Min;['20.02.2010'];NA;"https://www.chefkoch.de/rezepte/1594331266680181/Caipibowle.html
"
Getranke;Caipibowle;['Getränk', 'Sommer', 'Bowle'];3.86;simpel;['6große', 'Limette(n)', '125g', 'Rohrzucker', '250ml', 'Pitu(AguardentedeCana)', '2Flaschen', 'Sekttrocken,besserbrut']; (;NA;10 Min;['09.06.2014'];NA;"https://www.chefkoch.de/rezepte/2570031402320399/Caipibowle.html
"
